,Original File,Mapping
0,../registered_niftis/reg_RT_152.nii.gz,../02_jsoong/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task102_TemporalBone/imagesTr/jhu_000_0000.nii.gz
0,../registered_niftis/reg_LT_146.nii.gz,../02_jsoong/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task102_TemporalBone/imagesTr/jhu_001_0000.nii.gz
0,../registered_niftis/reg_RT_146.nii.gz,../02_jsoong/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task102_TemporalBone/imagesTr/jhu_002_0000.nii.gz
0,../registered_niftis/reg_LT_145.nii.gz,../02_jsoong/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task102_TemporalBone/imagesTr/jhu_003_0000.nii.gz
0,../registered_niftis/reg_RT_142.nii.gz,../02_jsoong/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task102_TemporalBone/imagesTr/jhu_004_0000.nii.gz
0,../registered_niftis/reg_LT_169.nii.gz,../02_jsoong/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task102_TemporalBone/imagesTr/jhu_005_0000.nii.gz
0,../registered_niftis/reg_LT_144.nii.gz,../02_jsoong/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task102_TemporalBone/imagesTr/jhu_006_0000.nii.gz
0,../registered_niftis/reg_LT_151.nii.gz,../02_jsoong/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task102_TemporalBone/imagesTr/jhu_007_0000.nii.gz
0,../registered_niftis/reg_RT_153.nii.gz,../02_jsoong/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task102_TemporalBone/imagesTr/jhu_008_0000.nii.gz
0,../registered_niftis/reg_RT_144.nii.gz,../02_jsoong/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task102_TemporalBone/imagesTr/jhu_009_0000.nii.gz
0,../registered_niftis/reg_RT_150.nii.gz,../02_jsoong/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task102_TemporalBone/imagesTr/jhu_010_0000.nii.gz
0,../registered_niftis/reg_RT_138.nii.gz,../02_jsoong/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task102_TemporalBone/imagesTr/jhu_011_0000.nii.gz
0,../registered_niftis/reg_LT_152.nii.gz,../02_jsoong/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task102_TemporalBone/imagesTr/jhu_012_0000.nii.gz
0,../registered_niftis/reg_LT_138.nii.gz,../02_jsoong/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task102_TemporalBone/imagesTr/jhu_013_0000.nii.gz
0,../registered_niftis/reg_LT_150.nii.gz,../02_jsoong/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task102_TemporalBone/imagesTr/jhu_014_0000.nii.gz
0,../nii_files/20210411_ssm_data_downsample100/RT_153_deform1-downsample100.nii.gz,../02_jsoong/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task102_TemporalBone/imagesTr/jhu_015_0000.nii.gz
0,../nii_files/20210411_ssm_data_downsample100/RT_153_deform10-downsample100.nii.gz,../02_jsoong/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task102_TemporalBone/imagesTr/jhu_016_0000.nii.gz
0,../nii_files/20210411_ssm_data_downsample100/RT_153_deform100-downsample100.nii.gz,../02_jsoong/nnUnet/nnUNet_raw_data_base/nnUNet_raw_data/Task102_TemporalBone/imagesTr/jhu_017_0000.nii.gz
